id,patient_text,relative_text,severity
7203,I feel stressed and overwhelmed,Appears emotionally distant,1
7204,I feel motivated and energetic,Often prefers to stay alone,7
7205,I feel fine and stable,No major change noticed,1
7206,I feel sad without any clear reason,Appears emotionally distant,5
7207,I feel sad without any clear reason,No major change noticed,5
7208,I feel calm and normal,Seems happy and social,3
7209,I feel worried about everything,Shows signs of irritability,3
7210,I feel disconnected from people,Often prefers to stay alone,6
7211,I feel anxious most of the day,She seems withdrawn and quiet,8
7212,I feel sad without any clear reason,Seems happy and social,5
7213,I feel tired and hopeless,Seems happy and social,4
7214,I feel anxious most of the day,Appears emotionally distant,10
7215,I feel emotionally numb,Mood fluctuates frequently,1
7216,I feel anxious most of the day,Often prefers to stay alone,2
7217,I feel tired and hopeless,Seems happy and social,7
7218,I feel sad without any clear reason,Shows signs of irritability,6
7219,I feel fine and stable,Appears emotionally distant,6
7220,I feel fine and stable,Seems happy and social,6
7221,I feel emotionally numb,He avoids family and sleeps a lot,10
7222,I feel emotionally numb,Often prefers to stay alone,6
7223,I feel sad without any clear reason,Mood fluctuates frequently,9
7224,I feel disconnected from people,She seems withdrawn and quiet,9
7225,I feel sad without any clear reason,Shows signs of irritability,10
7226,I feel sad without any clear reason,Actively interacts with family,9
7227,I feel calm and normal,She seems withdrawn and quiet,1
7228,I feel stressed and overwhelmed,Behavior appears normal,9
7229,I feel anxious most of the day,Mood fluctuates frequently,10
7230,I feel fine and stable,Mood fluctuates frequently,8
7231,I feel anxious most of the day,Mood fluctuates frequently,1
7232,I feel emotionally numb,Seems happy and social,10
7233,I feel stressed and overwhelmed,He avoids family and sleeps a lot,3
7234,I feel anxious most of the day,No major change noticed,2
7235,I feel anxious most of the day,Mood fluctuates frequently,1
7236,I feel anxious most of the day,Actively interacts with family,2
7237,I feel disconnected from people,Mood fluctuates frequently,8
7238,I feel sad without any clear reason,Often prefers to stay alone,9
7239,I feel stressed and overwhelmed,Appears emotionally distant,4
7240,I feel worried about everything,Often prefers to stay alone,2
7241,I feel emotionally numb,Seems happy and social,1
7242,I feel anxious most of the day,Actively interacts with family,3
7243,I feel stressed and overwhelmed,Often prefers to stay alone,2
7244,I feel calm and normal,Mood fluctuates frequently,4
7245,I feel tired and hopeless,Seems happy and social,10
7246,I feel emotionally numb,Seems happy and social,5
7247,I feel motivated and energetic,Seems happy and social,1
7248,I feel anxious most of the day,Behavior appears normal,8
7249,I feel sad without any clear reason,Actively interacts with family,10
7250,I feel motivated and energetic,Appears emotionally distant,10
7251,I feel fine and stable,He avoids family and sleeps a lot,2
7252,I feel fine and stable,Actively interacts with family,2
7253,I feel stressed and overwhelmed,He avoids family and sleeps a lot,4
7254,I feel anxious most of the day,Often prefers to stay alone,1
7255,I feel motivated and energetic,Mood fluctuates frequently,9
7256,I feel calm and normal,Appears emotionally distant,5
7257,I feel tired and hopeless,Mood fluctuates frequently,1
7258,I feel tired and hopeless,She seems withdrawn and quiet,2
7259,I feel tired and hopeless,Appears emotionally distant,10
7260,I feel stressed and overwhelmed,Appears emotionally distant,2
7261,I feel fine and stable,Shows signs of irritability,5
7262,I feel calm and normal,He avoids family and sleeps a lot,9
7263,I feel disconnected from people,Shows signs of irritability,1
7264,I feel tired and hopeless,She seems withdrawn and quiet,7
7265,I feel fine and stable,Shows signs of irritability,1
7266,I feel fine and stable,She seems withdrawn and quiet,8
7267,I feel motivated and energetic,Behavior appears normal,2
7268,I feel calm and normal,Mood fluctuates frequently,10
7269,I feel sad without any clear reason,Often prefers to stay alone,3
7270,I feel fine and stable,Behavior appears normal,8
7271,I feel fine and stable,He avoids family and sleeps a lot,7
7272,I feel motivated and energetic,He avoids family and sleeps a lot,6
7273,I feel disconnected from people,Mood fluctuates frequently,4
7274,I feel calm and normal,Shows signs of irritability,1
7275,I feel stressed and overwhelmed,Often prefers to stay alone,9
7276,I feel motivated and energetic,Shows signs of irritability,5
7277,I feel tired and hopeless,She seems withdrawn and quiet,1
7278,I feel emotionally numb,No major change noticed,7
7279,I feel fine and stable,Actively interacts with family,1
7280,I feel stressed and overwhelmed,Shows signs of irritability,6
7281,I feel anxious most of the day,Seems happy and social,7
7282,I feel anxious most of the day,Actively interacts with family,5
7283,I feel sad without any clear reason,Behavior appears normal,3
7284,I feel worried about everything,Often prefers to stay alone,9
7285,I feel anxious most of the day,Mood fluctuates frequently,7
7286,I feel calm and normal,Seems happy and social,10
7287,I feel anxious most of the day,He avoids family and sleeps a lot,7
7288,I feel worried about everything,Mood fluctuates frequently,10
7289,I feel calm and normal,Appears emotionally distant,1
7290,I feel sad without any clear reason,Shows signs of irritability,8
7291,I feel anxious most of the day,Behavior appears normal,6
7292,I feel worried about everything,Shows signs of irritability,5
7293,I feel anxious most of the day,He avoids family and sleeps a lot,6
7294,I feel disconnected from people,He avoids family and sleeps a lot,5
7295,I feel calm and normal,No major change noticed,6
7296,I feel anxious most of the day,He avoids family and sleeps a lot,4
7297,I feel calm and normal,Appears emotionally distant,3
7298,I feel stressed and overwhelmed,She seems withdrawn and quiet,2
7299,I feel anxious most of the day,Appears emotionally distant,2
7300,I feel motivated and energetic,Actively interacts with family,5
7301,I feel sad without any clear reason,Actively interacts with family,2
7302,I feel tired and hopeless,Mood fluctuates frequently,4
7303,I feel disconnected from people,Actively interacts with family,3
7304,I feel tired and hopeless,No major change noticed,8
7305,I feel emotionally numb,She seems withdrawn and quiet,9
7306,I feel fine and stable,Actively interacts with family,8
7307,I feel emotionally numb,Mood fluctuates frequently,3
7308,I feel sad without any clear reason,He avoids family and sleeps a lot,1
7309,I feel disconnected from people,Shows signs of irritability,2
7310,I feel fine and stable,Actively interacts with family,6
7311,I feel motivated and energetic,Mood fluctuates frequently,1
7312,I feel disconnected from people,Shows signs of irritability,9
7313,I feel tired and hopeless,Mood fluctuates frequently,4
7314,I feel anxious most of the day,Often prefers to stay alone,7
7315,I feel emotionally numb,Behavior appears normal,2
7316,I feel anxious most of the day,Often prefers to stay alone,3
7317,I feel emotionally numb,Mood fluctuates frequently,7
7318,I feel tired and hopeless,Appears emotionally distant,10
7319,I feel tired and hopeless,Often prefers to stay alone,4
7320,I feel stressed and overwhelmed,Appears emotionally distant,1
7321,I feel calm and normal,Shows signs of irritability,6
7322,I feel stressed and overwhelmed,He avoids family and sleeps a lot,10
7323,I feel anxious most of the day,No major change noticed,10
7324,I feel calm and normal,Shows signs of irritability,1
7325,I feel disconnected from people,Often prefers to stay alone,4
7326,I feel motivated and energetic,Mood fluctuates frequently,1
7327,I feel disconnected from people,Shows signs of irritability,6
7328,I feel sad without any clear reason,Seems happy and social,4
7329,I feel emotionally numb,Seems happy and social,9
7330,I feel sad without any clear reason,Shows signs of irritability,3
7331,I feel sad without any clear reason,Often prefers to stay alone,4
7332,I feel emotionally numb,Mood fluctuates frequently,5
7333,I feel motivated and energetic,Shows signs of irritability,7
7334,I feel emotionally numb,Actively interacts with family,4
7335,I feel fine and stable,Actively interacts with family,8
7336,I feel fine and stable,Seems happy and social,2
7337,I feel tired and hopeless,She seems withdrawn and quiet,9
7338,I feel tired and hopeless,No major change noticed,1
7339,I feel stressed and overwhelmed,Behavior appears normal,3
7340,I feel sad without any clear reason,Actively interacts with family,9
7341,I feel disconnected from people,She seems withdrawn and quiet,4
7342,I feel worried about everything,Seems happy and social,1
7343,I feel tired and hopeless,No major change noticed,2
7344,I feel calm and normal,Seems happy and social,2
7345,I feel motivated and energetic,Behavior appears normal,6
7346,I feel emotionally numb,She seems withdrawn and quiet,7
7347,I feel anxious most of the day,Appears emotionally distant,6
7348,I feel disconnected from people,Often prefers to stay alone,8
7349,I feel disconnected from people,Actively interacts with family,5
7350,I feel sad without any clear reason,Shows signs of irritability,7
7351,I feel calm and normal,Seems happy and social,8
7352,I feel calm and normal,She seems withdrawn and quiet,10
7353,I feel emotionally numb,Behavior appears normal,1
7354,I feel motivated and energetic,He avoids family and sleeps a lot,10
7355,I feel disconnected from people,Behavior appears normal,8
7356,I feel disconnected from people,Mood fluctuates frequently,8
7357,I feel anxious most of the day,Actively interacts with family,9
7358,I feel motivated and energetic,He avoids family and sleeps a lot,2
7359,I feel tired and hopeless,Behavior appears normal,3
7360,I feel fine and stable,Behavior appears normal,10
7361,I feel disconnected from people,Appears emotionally distant,8
7362,I feel sad without any clear reason,Often prefers to stay alone,4
7363,I feel emotionally numb,Mood fluctuates frequently,8
7364,I feel worried about everything,Seems happy and social,10
7365,I feel anxious most of the day,He avoids family and sleeps a lot,4
7366,I feel sad without any clear reason,Behavior appears normal,5
7367,I feel emotionally numb,No major change noticed,3
7368,I feel anxious most of the day,Seems happy and social,7
7369,I feel motivated and energetic,No major change noticed,2
7370,I feel worried about everything,Often prefers to stay alone,1
7371,I feel stressed and overwhelmed,He avoids family and sleeps a lot,7
7372,I feel disconnected from people,Seems happy and social,8
7373,I feel stressed and overwhelmed,Behavior appears normal,7
7374,I feel tired and hopeless,Behavior appears normal,6
7375,I feel fine and stable,Behavior appears normal,7
7376,I feel sad without any clear reason,Behavior appears normal,2
7377,I feel sad without any clear reason,Seems happy and social,1
7378,I feel stressed and overwhelmed,Shows signs of irritability,3
7379,I feel motivated and energetic,He avoids family and sleeps a lot,5
7380,I feel tired and hopeless,No major change noticed,8
7381,I feel tired and hopeless,Shows signs of irritability,9
7382,I feel fine and stable,Mood fluctuates frequently,8
7383,I feel sad without any clear reason,He avoids family and sleeps a lot,4
7384,I feel emotionally numb,Appears emotionally distant,4
7385,I feel fine and stable,No major change noticed,2
7386,I feel emotionally numb,Seems happy and social,6
7387,I feel tired and hopeless,Seems happy and social,1
7388,I feel motivated and energetic,Often prefers to stay alone,4
7389,I feel sad without any clear reason,Mood fluctuates frequently,10
7390,I feel worried about everything,No major change noticed,9
7391,I feel tired and hopeless,Often prefers to stay alone,5
7392,I feel sad without any clear reason,Seems happy and social,7
7393,I feel stressed and overwhelmed,Mood fluctuates frequently,3
7394,I feel tired and hopeless,Mood fluctuates frequently,2
7395,I feel worried about everything,Seems happy and social,8
7396,I feel worried about everything,He avoids family and sleeps a lot,7
7397,I feel emotionally numb,Actively interacts with family,1
7398,I feel stressed and overwhelmed,Often prefers to stay alone,10
7399,I feel tired and hopeless,Often prefers to stay alone,1
7400,I feel disconnected from people,He avoids family and sleeps a lot,2
7401,I feel stressed and overwhelmed,Appears emotionally distant,5
7402,I feel fine and stable,Behavior appears normal,8
7403,I feel worried about everything,Often prefers to stay alone,1
7404,I feel fine and stable,Mood fluctuates frequently,9
7405,I feel disconnected from people,Shows signs of irritability,6
7406,I feel worried about everything,Often prefers to stay alone,8
7407,I feel tired and hopeless,Seems happy and social,5
7408,I feel worried about everything,Appears emotionally distant,9
7409,I feel worried about everything,Seems happy and social,7
7410,I feel worried about everything,He avoids family and sleeps a lot,10
7411,I feel sad without any clear reason,Shows signs of irritability,8
7412,I feel sad without any clear reason,Often prefers to stay alone,6
7413,I feel motivated and energetic,Seems happy and social,7
7414,I feel disconnected from people,Actively interacts with family,9
7415,I feel anxious most of the day,No major change noticed,8
7416,I feel motivated and energetic,Actively interacts with family,10
7417,I feel disconnected from people,Seems happy and social,5
7418,I feel worried about everything,She seems withdrawn and quiet,1
7419,I feel fine and stable,She seems withdrawn and quiet,6
7420,I feel anxious most of the day,She seems withdrawn and quiet,6
7421,I feel tired and hopeless,She seems withdrawn and quiet,4
7422,I feel stressed and overwhelmed,Actively interacts with family,8
7423,I feel worried about everything,She seems withdrawn and quiet,2
7424,I feel anxious most of the day,Shows signs of irritability,10
7425,I feel calm and normal,Actively interacts with family,4
7426,I feel sad without any clear reason,Appears emotionally distant,8
7427,I feel anxious most of the day,Actively interacts with family,2
7428,I feel anxious most of the day,Appears emotionally distant,5
7429,I feel tired and hopeless,Behavior appears normal,9
7430,I feel tired and hopeless,Shows signs of irritability,10
7431,I feel calm and normal,He avoids family and sleeps a lot,1
7432,I feel anxious most of the day,Appears emotionally distant,3
7433,I feel disconnected from people,Shows signs of irritability,2
7434,I feel worried about everything,No major change noticed,3
7435,I feel sad without any clear reason,Mood fluctuates frequently,9
7436,I feel tired and hopeless,She seems withdrawn and quiet,9
7437,I feel disconnected from people,Behavior appears normal,8
7438,I feel disconnected from people,She seems withdrawn and quiet,7
7439,I feel tired and hopeless,Mood fluctuates frequently,4
7440,I feel anxious most of the day,Behavior appears normal,6
7441,I feel stressed and overwhelmed,He avoids family and sleeps a lot,9
7442,I feel calm and normal,He avoids family and sleeps a lot,10
7443,I feel anxious most of the day,Behavior appears normal,9
7444,I feel tired and hopeless,Behavior appears normal,1
7445,I feel emotionally numb,Often prefers to stay alone,6
7446,I feel calm and normal,Actively interacts with family,2
7447,I feel fine and stable,She seems withdrawn and quiet,9
7448,I feel calm and normal,No major change noticed,3
7449,I feel motivated and energetic,She seems withdrawn and quiet,7
7450,I feel tired and hopeless,Actively interacts with family,2
7451,I feel motivated and energetic,Seems happy and social,4
7452,I feel worried about everything,Appears emotionally distant,8
7453,I feel fine and stable,Shows signs of irritability,3
7454,I feel fine and stable,Shows signs of irritability,4
7455,I feel sad without any clear reason,Shows signs of irritability,10
7456,I feel disconnected from people,Often prefers to stay alone,2
7457,I feel fine and stable,Seems happy and social,3
7458,I feel fine and stable,Appears emotionally distant,2
7459,I feel sad without any clear reason,She seems withdrawn and quiet,8
7460,I feel sad without any clear reason,Mood fluctuates frequently,8
7461,I feel tired and hopeless,No major change noticed,9
7462,I feel stressed and overwhelmed,Appears emotionally distant,4
7463,I feel disconnected from people,No major change noticed,5
7464,I feel worried about everything,Seems happy and social,3
7465,I feel anxious most of the day,He avoids family and sleeps a lot,9
7466,I feel sad without any clear reason,Seems happy and social,10
7467,I feel sad without any clear reason,Shows signs of irritability,9
7468,I feel sad without any clear reason,Shows signs of irritability,3
7469,I feel fine and stable,Actively interacts with family,3
7470,I feel worried about everything,Mood fluctuates frequently,8
7471,I feel stressed and overwhelmed,Seems happy and social,8
7472,I feel anxious most of the day,She seems withdrawn and quiet,9
7473,I feel calm and normal,He avoids family and sleeps a lot,1
7474,I feel calm and normal,Shows signs of irritability,2
7475,I feel anxious most of the day,Seems happy and social,4
7476,I feel calm and normal,Often prefers to stay alone,8
7477,I feel motivated and energetic,Appears emotionally distant,6
7478,I feel stressed and overwhelmed,Mood fluctuates frequently,4
7479,I feel fine and stable,Actively interacts with family,1
7480,I feel emotionally numb,Shows signs of irritability,7
7481,I feel tired and hopeless,Mood fluctuates frequently,7
7482,I feel emotionally numb,Appears emotionally distant,8
7483,I feel calm and normal,Actively interacts with family,8
7484,I feel stressed and overwhelmed,Shows signs of irritability,6
7485,I feel anxious most of the day,Shows signs of irritability,5
7486,I feel stressed and overwhelmed,Actively interacts with family,5
7487,I feel calm and normal,Mood fluctuates frequently,4
7488,I feel motivated and energetic,Shows signs of irritability,7
7489,I feel sad without any clear reason,No major change noticed,8
7490,I feel stressed and overwhelmed,No major change noticed,3
7491,I feel stressed and overwhelmed,He avoids family and sleeps a lot,2
7492,I feel tired and hopeless,Actively interacts with family,10
7493,I feel anxious most of the day,No major change noticed,3
7494,I feel worried about everything,Appears emotionally distant,6
7495,I feel disconnected from people,Behavior appears normal,2
7496,I feel fine and stable,Shows signs of irritability,4
7497,I feel anxious most of the day,Seems happy and social,9
7498,I feel sad without any clear reason,Behavior appears normal,1
7499,I feel sad without any clear reason,Appears emotionally distant,1
7500,I feel sad without any clear reason,He avoids family and sleeps a lot,9
7501,I feel calm and normal,Behavior appears normal,4
7502,I feel sad without any clear reason,Behavior appears normal,9
7503,I feel motivated and energetic,Seems happy and social,4
7504,I feel calm and normal,Mood fluctuates frequently,10
7505,I feel anxious most of the day,Shows signs of irritability,2
7506,I feel motivated and energetic,Actively interacts with family,9
7507,I feel sad without any clear reason,Seems happy and social,2
7508,I feel fine and stable,Often prefers to stay alone,8
7509,I feel fine and stable,No major change noticed,1
7510,I feel emotionally numb,Mood fluctuates frequently,10
7511,I feel tired and hopeless,Often prefers to stay alone,10
7512,I feel emotionally numb,Shows signs of irritability,10
7513,I feel fine and stable,She seems withdrawn and quiet,10
7514,I feel stressed and overwhelmed,No major change noticed,8
7515,I feel fine and stable,No major change noticed,6
7516,I feel calm and normal,Actively interacts with family,9
7517,I feel anxious most of the day,Shows signs of irritability,1
7518,I feel worried about everything,Shows signs of irritability,1
7519,I feel tired and hopeless,He avoids family and sleeps a lot,3
7520,I feel fine and stable,No major change noticed,6
7521,I feel calm and normal,Seems happy and social,9
7522,I feel worried about everything,No major change noticed,4
7523,I feel stressed and overwhelmed,Often prefers to stay alone,4
7524,I feel tired and hopeless,Seems happy and social,7
7525,I feel disconnected from people,Actively interacts with family,10
7526,I feel stressed and overwhelmed,She seems withdrawn and quiet,5
7527,I feel motivated and energetic,Shows signs of irritability,3
7528,I feel emotionally numb,She seems withdrawn and quiet,2
7529,I feel anxious most of the day,Behavior appears normal,5
7530,I feel anxious most of the day,Shows signs of irritability,5
7531,I feel stressed and overwhelmed,Behavior appears normal,6
7532,I feel fine and stable,Appears emotionally distant,7
7533,I feel calm and normal,Often prefers to stay alone,5
7534,I feel calm and normal,Seems happy and social,9
7535,I feel worried about everything,Behavior appears normal,2
7536,I feel motivated and energetic,Mood fluctuates frequently,2
7537,I feel calm and normal,No major change noticed,6
7538,I feel disconnected from people,Seems happy and social,7
7539,I feel motivated and energetic,Behavior appears normal,10
7540,I feel stressed and overwhelmed,She seems withdrawn and quiet,3
7541,I feel emotionally numb,Shows signs of irritability,9
7542,I feel calm and normal,Shows signs of irritability,7
7543,I feel emotionally numb,Mood fluctuates frequently,10
7544,I feel tired and hopeless,Appears emotionally distant,8
7545,I feel fine and stable,He avoids family and sleeps a lot,5
7546,I feel anxious most of the day,No major change noticed,6
7547,I feel worried about everything,No major change noticed,3
7548,I feel motivated and energetic,Behavior appears normal,2
7549,I feel emotionally numb,Appears emotionally distant,3
7550,I feel fine and stable,Often prefers to stay alone,1
7551,I feel anxious most of the day,He avoids family and sleeps a lot,6
7552,I feel emotionally numb,Shows signs of irritability,2
7553,I feel sad without any clear reason,He avoids family and sleeps a lot,3
7554,I feel anxious most of the day,Mood fluctuates frequently,9
7555,I feel fine and stable,Often prefers to stay alone,2
7556,I feel anxious most of the day,No major change noticed,1
7557,I feel motivated and energetic,She seems withdrawn and quiet,5
7558,I feel stressed and overwhelmed,Appears emotionally distant,6
7559,I feel motivated and energetic,Actively interacts with family,1
7560,I feel fine and stable,Shows signs of irritability,1
7561,I feel motivated and energetic,Often prefers to stay alone,8
7562,I feel anxious most of the day,No major change noticed,7
7563,I feel tired and hopeless,Mood fluctuates frequently,8
7564,I feel disconnected from people,He avoids family and sleeps a lot,7
7565,I feel calm and normal,Actively interacts with family,10
7566,I feel emotionally numb,She seems withdrawn and quiet,8
7567,I feel sad without any clear reason,She seems withdrawn and quiet,5
7568,I feel fine and stable,Appears emotionally distant,7
7569,I feel anxious most of the day,Often prefers to stay alone,3
7570,I feel tired and hopeless,Appears emotionally distant,8
7571,I feel stressed and overwhelmed,Often prefers to stay alone,3
7572,I feel calm and normal,No major change noticed,2
7573,I feel disconnected from people,No major change noticed,10
7574,I feel emotionally numb,He avoids family and sleeps a lot,7
7575,I feel tired and hopeless,He avoids family and sleeps a lot,9
7576,I feel disconnected from people,Seems happy and social,6
7577,I feel emotionally numb,Behavior appears normal,10
7578,I feel sad without any clear reason,Appears emotionally distant,2
7579,I feel emotionally numb,Behavior appears normal,1
7580,I feel sad without any clear reason,He avoids family and sleeps a lot,10
7581,I feel tired and hopeless,Seems happy and social,1
7582,I feel stressed and overwhelmed,Actively interacts with family,9
7583,I feel sad without any clear reason,Often prefers to stay alone,3
7584,I feel calm and normal,He avoids family and sleeps a lot,2
7585,I feel stressed and overwhelmed,Actively interacts with family,2
7586,I feel stressed and overwhelmed,No major change noticed,6
7587,I feel emotionally numb,Appears emotionally distant,10
7588,I feel motivated and energetic,Mood fluctuates frequently,10
7589,I feel anxious most of the day,Behavior appears normal,1
7590,I feel calm and normal,Mood fluctuates frequently,7
7591,I feel anxious most of the day,Seems happy and social,9
7592,I feel anxious most of the day,He avoids family and sleeps a lot,10
7593,I feel fine and stable,Mood fluctuates frequently,5
7594,I feel tired and hopeless,No major change noticed,5
7595,I feel sad without any clear reason,Seems happy and social,5
7596,I feel fine and stable,Actively interacts with family,1
7597,I feel fine and stable,No major change noticed,1
7598,I feel tired and hopeless,Often prefers to stay alone,1
7599,I feel fine and stable,She seems withdrawn and quiet,1
7600,I feel tired and hopeless,Behavior appears normal,3
7601,I feel disconnected from people,No major change noticed,2
7602,I feel sad without any clear reason,No major change noticed,3
7603,I feel tired and hopeless,He avoids family and sleeps a lot,5
7604,I feel fine and stable,Shows signs of irritability,5
7605,I feel stressed and overwhelmed,Actively interacts with family,4
7606,I feel tired and hopeless,Seems happy and social,7
7607,I feel sad without any clear reason,Actively interacts with family,6
7608,I feel worried about everything,Actively interacts with family,1
7609,I feel worried about everything,No major change noticed,2
7610,I feel disconnected from people,Often prefers to stay alone,3
7611,I feel emotionally numb,Appears emotionally distant,3
7612,I feel fine and stable,No major change noticed,4
7613,I feel sad without any clear reason,Often prefers to stay alone,10
7614,I feel disconnected from people,Behavior appears normal,3
7615,I feel worried about everything,Seems happy and social,9
7616,I feel anxious most of the day,Often prefers to stay alone,2
7617,I feel stressed and overwhelmed,She seems withdrawn and quiet,1
7618,I feel emotionally numb,Actively interacts with family,9
7619,I feel emotionally numb,Shows signs of irritability,7
7620,I feel anxious most of the day,Often prefers to stay alone,6
7621,I feel tired and hopeless,Appears emotionally distant,9
7622,I feel anxious most of the day,Mood fluctuates frequently,4
7623,I feel anxious most of the day,Appears emotionally distant,4
7624,I feel motivated and energetic,She seems withdrawn and quiet,7
7625,I feel tired and hopeless,No major change noticed,1
7626,I feel anxious most of the day,Actively interacts with family,10
7627,I feel fine and stable,Behavior appears normal,8
7628,I feel sad without any clear reason,He avoids family and sleeps a lot,3
7629,I feel worried about everything,She seems withdrawn and quiet,8
7630,I feel fine and stable,Actively interacts with family,5
7631,I feel anxious most of the day,Mood fluctuates frequently,6
7632,I feel worried about everything,Mood fluctuates frequently,5
7633,I feel calm and normal,Seems happy and social,10
7634,I feel fine and stable,Seems happy and social,4
7635,I feel fine and stable,He avoids family and sleeps a lot,6
7636,I feel sad without any clear reason,He avoids family and sleeps a lot,1
7637,I feel motivated and energetic,Often prefers to stay alone,8
7638,I feel motivated and energetic,Shows signs of irritability,10
7639,I feel emotionally numb,Mood fluctuates frequently,5
7640,I feel worried about everything,Shows signs of irritability,7
7641,I feel fine and stable,Actively interacts with family,3
7642,I feel tired and hopeless,Actively interacts with family,8
7643,I feel fine and stable,Mood fluctuates frequently,1
7644,I feel disconnected from people,Mood fluctuates frequently,9
7645,I feel worried about everything,No major change noticed,6
7646,I feel stressed and overwhelmed,Mood fluctuates frequently,6
7647,I feel anxious most of the day,He avoids family and sleeps a lot,10
7648,I feel calm and normal,Shows signs of irritability,3
7649,I feel worried about everything,Mood fluctuates frequently,8
7650,I feel emotionally numb,Behavior appears normal,4
7651,I feel anxious most of the day,No major change noticed,6
7652,I feel tired and hopeless,Appears emotionally distant,2
7653,I feel calm and normal,He avoids family and sleeps a lot,9
7654,I feel sad without any clear reason,He avoids family and sleeps a lot,5
7655,I feel stressed and overwhelmed,Seems happy and social,5
7656,I feel anxious most of the day,Appears emotionally distant,3
7657,I feel emotionally numb,She seems withdrawn and quiet,9
7658,I feel tired and hopeless,Often prefers to stay alone,9
7659,I feel sad without any clear reason,Often prefers to stay alone,1
7660,I feel calm and normal,Behavior appears normal,10
7661,I feel anxious most of the day,She seems withdrawn and quiet,5
7662,I feel emotionally numb,Shows signs of irritability,1
7663,I feel worried about everything,Appears emotionally distant,4
7664,I feel fine and stable,Behavior appears normal,9
7665,I feel motivated and energetic,She seems withdrawn and quiet,10
7666,I feel calm and normal,Behavior appears normal,2
7667,I feel worried about everything,Behavior appears normal,1
7668,I feel fine and stable,Mood fluctuates frequently,1
7669,I feel motivated and energetic,Seems happy and social,1
7670,I feel motivated and energetic,Mood fluctuates frequently,8
7671,I feel stressed and overwhelmed,Often prefers to stay alone,10
7672,I feel stressed and overwhelmed,Actively interacts with family,5
7673,I feel worried about everything,Seems happy and social,9
7674,I feel motivated and energetic,No major change noticed,10
7675,I feel fine and stable,Actively interacts with family,1
7676,I feel worried about everything,She seems withdrawn and quiet,6
7677,I feel motivated and energetic,Shows signs of irritability,4
7678,I feel calm and normal,He avoids family and sleeps a lot,9
7679,I feel motivated and energetic,Actively interacts with family,10
7680,I feel emotionally numb,Mood fluctuates frequently,3
7681,I feel worried about everything,Actively interacts with family,2
7682,I feel worried about everything,Mood fluctuates frequently,8
7683,I feel calm and normal,Mood fluctuates frequently,4
7684,I feel tired and hopeless,She seems withdrawn and quiet,4
7685,I feel calm and normal,Often prefers to stay alone,8
7686,I feel sad without any clear reason,Actively interacts with family,7
7687,I feel tired and hopeless,He avoids family and sleeps a lot,3
7688,I feel disconnected from people,Behavior appears normal,1
7689,I feel fine and stable,He avoids family and sleeps a lot,10
7690,I feel fine and stable,Seems happy and social,2
7691,I feel stressed and overwhelmed,Behavior appears normal,6
7692,I feel disconnected from people,She seems withdrawn and quiet,7
7693,I feel tired and hopeless,She seems withdrawn and quiet,1
7694,I feel emotionally numb,Behavior appears normal,4
7695,I feel tired and hopeless,Mood fluctuates frequently,4
7696,I feel anxious most of the day,Appears emotionally distant,4
7697,I feel sad without any clear reason,No major change noticed,9
7698,I feel motivated and energetic,No major change noticed,6
7699,I feel motivated and energetic,Appears emotionally distant,2
7700,I feel fine and stable,Shows signs of irritability,7
7701,I feel motivated and energetic,She seems withdrawn and quiet,7
7702,I feel worried about everything,Shows signs of irritability,5
7703,I feel anxious most of the day,She seems withdrawn and quiet,4
7704,I feel worried about everything,He avoids family and sleeps a lot,9
7705,I feel motivated and energetic,Often prefers to stay alone,1
7706,I feel stressed and overwhelmed,Appears emotionally distant,5
7707,I feel sad without any clear reason,She seems withdrawn and quiet,10
7708,I feel worried about everything,Appears emotionally distant,1
7709,I feel tired and hopeless,Actively interacts with family,8
7710,I feel fine and stable,Mood fluctuates frequently,5
7711,I feel anxious most of the day,He avoids family and sleeps a lot,10
7712,I feel calm and normal,She seems withdrawn and quiet,10
7713,I feel tired and hopeless,She seems withdrawn and quiet,5
7714,I feel motivated and energetic,Shows signs of irritability,10
7715,I feel tired and hopeless,Seems happy and social,6
7716,I feel disconnected from people,Actively interacts with family,1
7717,I feel worried about everything,Behavior appears normal,6
7718,I feel sad without any clear reason,Mood fluctuates frequently,1
7719,I feel emotionally numb,Shows signs of irritability,3
7720,I feel worried about everything,Shows signs of irritability,5
7721,I feel fine and stable,Mood fluctuates frequently,7
7722,I feel worried about everything,Seems happy and social,3
7723,I feel disconnected from people,Shows signs of irritability,5
7724,I feel sad without any clear reason,No major change noticed,6
7725,I feel emotionally numb,Mood fluctuates frequently,10
7726,I feel sad without any clear reason,Behavior appears normal,6
7727,I feel tired and hopeless,Behavior appears normal,5
7728,I feel emotionally numb,She seems withdrawn and quiet,1
7729,I feel fine and stable,Behavior appears normal,5
7730,I feel motivated and energetic,Appears emotionally distant,4
7731,I feel disconnected from people,Shows signs of irritability,9
7732,I feel disconnected from people,He avoids family and sleeps a lot,5
7733,I feel tired and hopeless,Behavior appears normal,9
7734,I feel motivated and energetic,Actively interacts with family,9
7735,I feel tired and hopeless,Shows signs of irritability,10
7736,I feel anxious most of the day,She seems withdrawn and quiet,4
7737,I feel emotionally numb,No major change noticed,2
7738,I feel emotionally numb,She seems withdrawn and quiet,7
7739,I feel emotionally numb,Often prefers to stay alone,5
7740,I feel anxious most of the day,Actively interacts with family,7
7741,I feel anxious most of the day,No major change noticed,4
